FID,fname,dttime_utc,dttime_est,f_lat,f_lon,f_area_acr,county
120,"Mine View Road, Hardee (25)",7/5/2024 21:03,7/5/2024 16:03,27.5719444,-81.9533333,7,Hardee
121,CRACKER SWAMP (54),7/4/2024 18:40,7/4/2024 13:40,29.686227,-81.5446244,3.3,Putnam
122,CUP PILES (18),7/8/2024 19:11,7/8/2024 14:11,29.6202086,-81.3507981,0.3,Flagler
123,E SAINT JOHNS (54),7/8/2024 19:25,7/8/2024 14:25,29.5913513,-81.713886,0.25,Putnam
124,UTILITY (64),7/8/2024 19:45,7/8/2024 14:45,29.0174598,-81.0060356,20,Volusia
125,DOUBLE C (18),7/8/2024 20:37,7/8/2024 15:37,29.3310278,-81.3809167,0.1,Flagler
126,CONCRETE (64),7/8/2024 21:42,7/8/2024 16:42,28.9936011,-81.0258557,4.5,Volusia
127,SHACK VIEW (64),7/8/2024 22:45,7/8/2024 17:45,28.8126667,-80.9594167,2.1,Volusia
128,SCHOOL ROAD(55),7/9/2024 16:50,7/9/2024 11:50,29.7967195,-81.3485608,1,St. Johns
129,EAST GOBBLERS LODGE (64),7/11/2024 18:12,7/11/2024 13:12,28.8491049,-81.0497276,1.4,Volusia
130,BREAK 91 (64),7/11/2024 18:15,7/11/2024 13:15,28.821717,-81.0502149,0.5,Volusia
131,MONDEX (54),7/13/2024 19:13,7/13/2024 14:13,29.570774,-81.732234,285,Putnam
132,349 (15),7/13/2024 20:25,7/13/2024 15:25,29.4357963,-83.0341539,1.5,Dixie
133,SOUTH (64),7/13/2024 22:00,7/13/2024 17:00,29.0042,-80.9831,3,Volusia
134,TRAIL HEAD (64),7/13/2024 22:03,7/13/2024 17:03,28.8025,-80.9586389,3,Volusia
135,"Mocassian Ln, Hardee (25)",7/14/2024 22:34,7/14/2024 17:34,27.6040199,-82.0069968,123,Hardee
136,SPRUCE CREEK (64),7/15/2024 13:35,7/15/2024 8:35,29.0591667,-81.0872222,4.7,Volusia
137,NORTH DAMASCUS (64),7/15/2024 22:07,7/15/2024 17:07,29.0469444,-81.1611528,10,Volusia
138,HWY 40 (38),7/17/2024 14:40,7/17/2024 9:40,29.0570528,-82.54464484,6,Levy
139,Stacy Grove Road (64),7/18/2024 22:14,7/18/2024 17:14,28.800726,-80.8974946,30,Volusia
140,Moody Branch Taylor Grade (41),7/18/2024 22:55,7/18/2024 17:55,27.6356704,-82.2465336,20,Manatee
141,BIG NEW WALES *~(53),7/19/2024 0:23,7/18/2024 19:23,27.8194444,-82.0111111,400,Polk
142,GATE 5 (01),7/19/2024 4:07,7/18/2024 23:07,29.705877,-82.286733,6.4,Alachua
143,WILDMAN (18),7/19/2024 19:25,7/19/2024 14:25,29.5261111,-81.4872222,25.5,Flagler
144,42-2 (35),7/20/2024 19:27,7/20/2024 14:27,29.017463,-81.5104925,1.5,Lake
145,"Haines City, Polk (53)",7/20/2024 22:22,7/20/2024 17:22,28.1893638,-81.6737635,0,Polk
146,48TH LN RD (42),7/21/2024 17:11,7/21/2024 12:11,29.1390012,-82.3272944,3.1,Marion
147,CAMPBELL RD (38),7/21/2024 22:03,7/21/2024 17:03,29.39025,-82.6678056,10,Levy
148,W Cavalry Lane (09),7/22/2024 0:37,7/21/2024 19:37,28.9219358,-82.5429611,15.3,Citrus
