latitude,longitude,precip
30.999825,-81.9917,0.0
30.999493,-81.96982,0.0
30.99949,-81.94802,0.0
30.999128,-81.92613,0.0
30.998926,-81.90429,0.0
30.998663,-81.88243,0.0
30.998499,-81.860596,0.0
30.99827,-81.83875,0.0
30.997946,-81.81689,0.0
30.997646,-81.79502,0.0
30.997452,-81.773186,0.0
30.997185,-81.751335,0.0
30.996868,-81.72947,0.0
30.99664,-81.70763,0.0
30.996382,-81.68578,0.0
30.996204,-81.66397,0.0
30.996004,-81.64214,0.0
30.995586,-81.620255,0.0
30.995358,-81.59843,0.0
30.995102,-81.57659,0.0
30.994886,-81.55477,0.0
30.994648,-81.532936,0.0
30.994406,-81.5111,0.0
30.994282,-81.48931,0.0
30.994091,-81.4675,0.0
30.993837,-81.44567,0.0
30.993517,-81.42383,0.0
30.993425,-81.40205,0.0
30.993282,-81.38025,0.0
30.993055,-81.35844,0.0
30.992718,-81.33659,0.0
30.99242,-81.314766,0.0
30.992329,-81.292984,0.0
30.992022,-81.27115,0.0
30.991798,-81.249344,0.0
30.991547,-81.22753,0.0
30.99127,-81.20571,0.0
30.99114,-81.18393,0.0
30.990921,-81.16213,3.268735
30.990597,-81.140305,0.0
30.990475,-81.11853,0.0
30.990221,-81.096725,0.0
30.990139,-81.07496,0.0
30.989794,-81.05313,0.0
30.989555,-81.031334,0.0
30.989416,-81.00956,0.0
30.989191,-80.98777,0.0
30.98902,-80.965996,0.0
30.98866,-80.944176,0.0
30.988441,-80.922386,0.0
30.988182,-80.9006,0.0
30.987995,-80.87882,0.0
30.987728,-80.857025,0.0
30.987646,-80.83527,0.0
30.987469,-80.8135,0.0
30.98721,-80.79171,0.0
30.987114,-80.76996,0.0
30.986916,-80.748184,0.0
30.986643,-80.726395,0.0
30.986431,-80.70463,0.0
30.986322,-80.682884,0.0
30.986021,-80.66109,0.0
30.9859,-80.639336,0.0
30.985697,-80.61758,0.0
30.98555,-80.59582,0.0
30.985252,-80.574036,0.0
30.985123,-80.552284,0.0
30.984884,-80.53052,0.0
30.984682,-80.50876,0.0
30.984432,-80.48699,0.0
30.98429,-80.46524,0.0
30.983927,-80.44346,0.0
30.983774,-80.42171,0.0
30.983572,-80.39996,0.0
30.98335,-80.3782,0.0
30.983187,-80.35645,0.0
30.983015,-80.33471,0.0
30.982828,-80.312965,0.0
30.982668,-80.29122,0.0
30.982492,-80.269485,0.0
30.982285,-80.247734,0.0
30.982103,-80.226,0.0
30.981848,-80.20424,0.0
30.981718,-80.18252,0.0
30.981627,-80.1608,0.0
30.981428,-80.139046,0.0
30.981203,-80.11731,0.0
30.981186,-80.095604,0.0
30.980888,-80.073845,0.0
30.980673,-80.05212,0.0
30.98043,-80.03037,0.0
30.9804,-80.008675,0.0
30.999743,-83.76623,0.0
30.999647,-83.744286,0.0
30.999332,-83.72228,0.0
30.998981,-83.70026,0.0
30.998663,-83.678246,0.0
30.998217,-83.6562,0.0
30.997932,-83.63421,0.0
30.99779,-83.61227,0.0
30.997332,-83.59022,0.0
30.996977,-83.56821,0.0
30.99674,-83.546234,0.0
30.996376,-83.524216,0.0
30.996092,-83.50224,3.268735
30.995737,-83.48023,0.0
30.995552,-83.45829,0.0
30.995068,-83.43625,0.0
30.994913,-83.414314,0.0
30.994524,-83.39231,0.0
30.9942,-83.37033,2.826189
30.993824,-83.34833,0.0
30.993803,-83.32644,2.1059077
30.9934,-83.304436,0.0
30.993202,-83.2825,0.0
30.992903,-83.26054,0.0
30.992657,-83.23859,0.0
30.992281,-83.21659,0.0
30.991919,-83.19462,0.0
30.991686,-83.172676,0.0
30.991257,-83.15067,0.0
30.991034,-83.128746,0.0
30.990788,-83.106804,0.0
30.990349,-83.08481,0.0
30.990112,-83.062874,0.0
30.989853,-83.04094,0.0
30.989576,-83.019,0.0
30.9892,-82.99703,0.0
30.98895,-82.975105,0.0
30.988787,-82.9532,2.1059077
30.988405,-82.93124,0.0
30.9881,-82.909294,0.0
30.987818,-82.88737,2.1059077
30.987637,-82.86546,2.434002
30.98736,-82.84354,2.434002
30.987045,-82.821594,2.1059077
30.986746,-82.79967,0.0
